parname,    liquid,     ice_I,       ice_III,    ice_V,     ice_VI
Pref,       0.1,        6.11657e-4,  355.0,      618.4,     2216
Tref,       180,        273.16,      256.43,     272.73,    356.15
V0,         9.921e-4,   1.083e-3,    8.686e-4,   8.020e-4,  7.38e-4
aT1,        1,          1,           1,          1,         1
aT2,        0,          -1.00e-4,    -9.95e-5,   -8.33e-4,  -1.80e-4
aT3,        2.963e-9,   -5.0e-7,     -1.02e-6,   -4.95e-6,  3.82e-8
aT4,        3.17,       2,           2,          2,         2
P0,         2500,       6.11657e-4,  355.0,      618.4,     2216
aP1,        0.7518,     1,           1,          1,         1
aP2,        -3.07e-5,   -9.84e-5,    -2.43e-4,   -2.07e-5,  0.0
aP3,        -3.60e-19,  -2.146e-7,   -5.26e-7,   2.42e-8,   0.0
aP4,        5.2,        2,           2,          2,         2
