#P1     P2    T_min    T_max    P_min    P_max     a         b         c           d       e

L       I     251.165  273.15   0        2085.66   273.0159  -0.0132   -0.1577     0        0.1516
L       III   251.165  256.16   2085.66  3501      10.277     0.0265    50.1624    0.5868  -4.3288
L       V     256.16   273.31   3501     6324      5.0321    -0.0004    30.9482    1.0018   0
L       VI    273.31   355.0    6324     22160     4.2804    -0.0013    21.8756    1.0018   1.0785
L       VII   355.0    1500     22160    400000   -1355.42    0.0018    167.0609  -0.6633   0
L       X     1500     2500     400000   900000    0.2524     0.0019    0.2795     0.5      1.1675
I       II    200.0    238.5    1500     2130      0.2569     0.1026    0.2931     0.5      0.3789
I       III   238.5    251.165  2085.66  2130      18.9177   -0.3447    124.452    0.5709   0
II      III   238.5    248.9    2130     3440      6.8396     0.0007    33.13      0.5     -0.5162
II      V     209.8    248.9    3440     6080      6.6088    -0.028     36.2934    0.0086   0.7358
II      VI    200.0    209.8    6080     6500      1.0231    -0.3688    6.2306     0.501    30.7367
III     V     248.9    256.16   3440     3501      0.7846     0.1647   -0.5408     0.9999  -5.3526
V       VI    209.8    273.31   6080     6324      0.1181     0.4754   -5.8193     0.9997  -33.7273
VI      VII   278.16   355.0    21200    22160    -47.8507    0        -389.006    0.9932   28.8539
VI      VIII  200.0    278.16   20000    21200    -8.2483     0.0518   -81.5196    0.9991   0
VII     VIII  100.0    278.16   21200    620000    696.858   -0.0009   -52.7565    1.4191   0.8696
VII     X     100.0    1500     400000   620000    28.3439   -0.007     331.927    1.0001   0
VIII    X     0        100.0    620000   635500    10        -0.0128    9.9998     10       9.9873
