#i,c,d,t,n,alpha,beta,gamma,eps,a,b,B,C,D,A
1,NaN,1,-0.5,0.12533547935523e-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,NaN,1,0.875,0.78957634722828e1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,NaN,1,1,-0.87803203303561e1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,NaN,2,0.5,0.31802509345418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,NaN,2,0.75,-0.26145533859358,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,NaN,3,0.375,-0.78199751687981e-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,4,1,0.88089493102134e-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1,1,4,-0.66856572307965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1,1,6,0.20433810950965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1,1,12,-0.66212605039687e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1,2,1,-0.19232721156002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1,2,5,-0.25709043003438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1,3,4,0.16074868486251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1,4,2,-0.40092828925807e-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1,4,13,0.39343422603254e-6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1,5,9,-0.75941377088144e-5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1,7,3,0.56250979351888e-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1,9,4,-0.15608652257135e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,1,10,11,0.11537996422951e-8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,1,11,4,0.36582165144204e-6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,1,13,13,-0.13251180074668e-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,1,15,1,-0.62639586912454e-9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,2,1,7,-0.10793600908932,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,2,2,1,0.17611491008752e-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,2,2,9,0.22132295167546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,2,2,10,-0.40247669763528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,2,3,10,0.58083399985759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,2,4,3,0.49969146990806e-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,2,4,7,-0.31358700712549e-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,2,4,10,-0.74315929710341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,2,5,10,0.47807329915480,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,2,6,6,0.20527940895948e-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,2,6,10,-0.13636435110343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,2,7,10,0.14180634400617e-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,2,9,1,0.83326504880713e-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,2,9,2,-0.29052336009585e-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
